A0063;;JIA DUO BAO Tisane sans sucre 310ml;4891599390018;1.10;120.0;0.65;0.0;1;;
A0064;;JIANLIBAO Boisson sportif a l'orange 330ml;6901010101180;1.20;120.0;0.70;0.0;1;;
A0065;;WANT WANT Boisson Wangzai;6920584471017;1.70;72.0;1.06;0.0;1;;
A0250;;Eau plate 50cl;5400141637144;1.10;0.0;0.00;0.0;1;;
A0066;;SANGARIA Ramune raisin 500g;4902179014290;0.00;24.0;1.15;0.0;1;;
A0067;;WAN LAO JI Tisane;6956367338604;18.00;0.0;0.00;0.0;1;;
A0068;;WANT WANT Boissons lait;16920584471014;30.00;0.0;0.00;0.0;1;;
A0069;;The au lait cassonade*5;4712134667818;2.80;24.0;1.69;0.0;1;;
A0070;;The au lait taro boba*3;4712134669799;5.40;24.0;3.29;0.0;1;;
A0071;;FOCO Mangues;016229901172;1.30;24.0;0.97;0.0;1;;
A0072;;FOCO Fruits de la passion;016229901189;1.30;24.0;0.95;0.0;1;;
A0073;;JIULONGZHAI Prune aigre&Osmanthus;6939209518235;1.60;15.0;0.98;0.0;1;;
A0074;;JIULONGZHAI Prune aigre;6939209518020;1.60;15.0;0.98;0.0;1;;
A0075;;BAMBOO TREE Eau de coco;8936146201419;1.05;12.0;0.62;0.0;1;;
A0076;;GENKI FOREST The oolong sans sucre;6970399920118;1.65;15.0;0.99;0.0;1;;
A0077;;MASTER KUNG The noir glace sans sucre;6973870130006;1.55;15.0;0.86;0.0;1;;
A0078;;OISHI The vert;8854698005050;1.55;24.0;0.94;0.0;1;;
A0079;;OISHI The vert Genmaicha;8854698014366;1.55;24.0;0.95;0.0;1;;
A0080;;TONGYI The au lait Assam;6925303730574;1.55;15.0;0.94;0.0;1;;
A0081;;YEO Tisane et gelee d'herbe;;1.40;24.0;0.84;0.0;1;;
A0082;;YEO Boissons soja;;1.40;24.0;0.55;0.0;1;;
A0083;;YEO'S Boisson soja;9556156042865;1.00;0.0;1.05;0.0;1;;
A0084;;;;1.75;12.0;1.05;0.0;1;;
A0085;;;;1.75;12.0;1.05;0.0;1;;
B0001;;Coq Nouille Pho;8935005300027;2.10;0.0;1.37;0.0;1;;
B0002;;COQ Nouilles de riz S;084909000552;2.10;0.0;1.35;0.0;1;;
B0003;;WaiWai vermicelle;8850100207029;3.40;0.0;2.10;0.0;1;;
B0004;;Sautao nouille fine;087303857180;2.20;0.0;1.33;0.0;1;;
B0005;;Wang nouille sarrasin;087703007208;2.00;0.0;1.28;0.0;1;;
B0006;;Vermicelle de konjac;726105331107;1.90;0.0;1.20;0.0;1;;
B0007;;Coq nouille Wenzhou;3364699043838;1.40;0.0;0.90;0.0;1;;
B0008;;6Fortune nouille Daoshiao;079763111629;7.50;0.0;4.93;0.0;1;;
B0009;;Coq nouille Shanxi;3364699043500;6.50;0.0;3.93;0.0;1;;
B0010;;Coq nouille Lanzhou;3364699043548;6.50;0.0;3.93;0.0;1;;
B0011;;Red roses galettes de riz 22cm;3364699020204;1.90;0.0;1.28;0.0;1;;
B0012;;Red roses galettes de riz 22cm;3364699020037;2.80;0.0;1.85;0.0;1;;
B0013;;Vermicelles Lungkow 100g;6901089041035;0.70;180.0;0.45;0.0;1;;
B0014;;Vermicelles mungo 500g;3364699042916;5.30;30.0;3.49;0.0;1;;
B0015;;Wang Vermicelles de patate douce;087703067462;4.00;24.0;2.61;0.0;1;;
B0016;;Obento Udon;9310432000167;0.70;0.0;0.46;0.0;1;;
B0017;;JONGGA Tteokbokki;8801024944545;4.60;0.0;3.00;0.0;1;;
B0018;;Nouilles Ramen 180g;6934731200122;0.65;0.0;0.42;0.0;1;;
B0019;;Vermicelles de riz 400g;8437017416012;2.10;0.0;0.00;0.0;1;;
B0020;;Nouilles instantanee Cambodge;8847105090022;2.30;0.0;0.00;0.0;1;;
B0021;;Nouilles Shanxi 300g;3364699043470;1.00;0.0;0.66;0.0;1;;
B0022;;Nouilles style fait main ;3364699043487;1.00;0.0;0.66;0.0;1;;
B0023;;Nouilles chowmein 340g;6901017321048;1.40;0.0;0.90;0.0;1;;
B0024;;COQ Nouilles de riz L 375g;084909000606;2.00;0.0;1.35;0.0;1;;
B0025;;AMOY Nouilles extra fines;6901017321109;1.90;0.0;1.24;0.0;1;;
B0026;;Pates grecques ;5400141301571;0.00;0.0;0.00;0.0;1;;
B0027;;Netto Cocos blancs 500g;3250391372348;0.00;0.0;0.00;0.0;1;;
B0028;;Bon-Ri Couscous ;27008935;0.00;0.0;0.00;0.0;1;;
B0029;;Puree de pdt 500g;26019178;0.00;0.0;0.00;0.0;1;;
B0030;;SEMPIO Vermicelles au The vert 300g;8801005000451;2.30;20.0;1.49;0.0;1;;
B0031;;SIX FORTUNE Nouilles Young Chun 340g;079763111315;2.60;30.0;1.69;0.0;1;;
B0032;;MAIWA Nouilles Udon 200g;6934731200139;0.60;30.0;0.39;0.0;1;;
B0033;;JINGYIGEN Vermicelles de patate douce 200g M;6952998413598;1.90;30.0;1.25;0.0;1;;
B0034;;JINGYIGEN Vermicelles de patate douce 200g L;6952998422002;1.70;30.0;1.15;0.0;1;;
B0035;;COQ LONGKOU vermicelles 5kg;3364691043072;18.50;3.0;13.18;0.0;1;;
B0036;;DOUBLE PHOENIX Vermicelle 400g;4897035866222;2.60;30.0;1.60;0.0;1;;
B0037;;BIG ELEPHANT Vermicelle 400g;8718182610482;2.60;30.0;1.60;0.0;1;;
B0038;;EVERGREAT Vermicelles 400g;8718182611052;2.40;30.0;1.50;0.0;3;;
B0039;;Nouilles;8437000132493;13.00;0.0;0.00;1.0;1;;
B0040;;Nouilles;8437000132486;13.00;0.0;0.00;0.0;1;;
C0001;;Sucre de canne morceaux;6940152200054;2.00;0.0;1.33;0.0;1;;
C0002;;Sweet garden the vert ;4710960908167;4.75;0.0;3.13;0.0;1;;
C0003;;The vert matcha 20g;4937922160115;3.20;0.0;2.13;0.0;1;;
C0004;;S&B golden curry doux;4901002075415;4.40;0.0;2.94;0.0;1;;
C0005;;S&B golden curry moyen;4901002075422;4.40;0.0;2.94;0.0;1;;
C0006;;S&B golden curry fort;4901002075439;4.40;0.0;2.94;0.0;1;;
C0007;;S&B soupe miso tofu;4901002141738;3.00;0.0;1.94;0.0;1;;
C0008;;S&B nanami togarashi;4901002168865;5.90;0.0;3.93;0.0;1;;
C0009;;Foreway sesame soy sauce;640700003033;4.20;0.0;2.80;0.0;1;;
C0010;;Foreway sesame wasabi;640700003019;4.20;0.0;2.80;0.0;1;;
C0011;;Coq panko;3364699074580;1.10;0.0;0.71;0.0;1;;
C0012;;Coq sau.soja sup. epais;3364699241784;2.75;9.0;1.81;0.0;1;;
C0013;;LKK sau. soja fruits de mer;078895423037;2.90;10.0;1.90;0.0;1;;
C0014;;LKK sau. vege champi.;078895152531;3.10;12.0;2.04;0.0;1;;
C0015;;Coq sweet chili rouleaux;084909015853;1.85;21.0;1.23;0.0;1;;
C0016;;Coq mini siracha;3364699220840;1.10;19.0;0.74;0.0;1;;
C0017;;Coq sweet chili volaille;084909000545;2.00;12.0;1.09;0.0;1;;
C0018;;LKK sau. soja sucree dimsum;078895147308;2.20;0.0;1.42;0.0;1;;
C0019;;LKK sauce raviolis;078895127706;2.10;0.0;1.37;0.0;1;;
C0020;;Kikkoman soja sucree;8715035250307;4.30;0.0;2.84;0.0;1;;
C0021;;Kikkoman soja sucree 975ml;8715035250802;9.70;4.0;6.40;0.0;1;;
C0022;;Coq sau. poisson;084909032096;1.60;19.0;0.94;0.0;1;;
C0023;;Chinkiang vinaigre;6902007505264;2.40;7.0;1.56;0.0;1;;
C0024;;LKK  hoisin;078895700022;3.00;8.0;1.85;0.0;1;;
C0025;;Wang kimchi;3364699424019;5.20;9.0;3.44;0.0;1;;
C0026;;Laoganma cacahuete;6921804700054;3.90;10.0;2.56;0.0;1;;
C0027;;Xinjing baking powder;6922168012388;0.00;0.0;0.00;0.0;1;;
C0028;;Bullhead sau. BBQ;4711258007371;12.50;0.0;0.00;0.0;1;;
C0029;;Arm&hammer baking soda;033200011101;1.90;0.0;0.00;0.0;1;;
C0030;;Everyday sel cuisine;5400141441369;0.00;0.0;0.00;0.0;1;;
C0031;;Sau. poisson 700ml;8850620888074;0.00;0.0;0.00;0.0;1;;
C0032;;Everyday mais doux;5400141995008;0.00;0.0;0.00;0.0;1;;
C0033;;Mae ploy lait coco 1L;8850367302017;3.65;0.0;2.40;0.0;1;;
C0034;;Sauce pimentee pour wok;5060786251343;3.65;0.0;2.41;0.0;1;;
C0035;;Pate de soja salee;6920541206706;1.00;0.0;0.66;0.0;1;;
C0036;;Pate Tom Yum;084909001238;2.60;0.0;1.70;0.0;1;;
C0037;;Sauce arome huitre;3364699231174;1.50;0.0;0.99;0.0;1;;
C0038;;Sauce pour kimchi;087703207066;5.00;0.0;3.31;0.0;1;;
C0039;;Preparation pour poisson ;6920143500905;3.20;0.0;2.08;0.0;1;;
C0040;;Laoganma shiitake piment;6921804701280;4.10;24.0;2.70;0.0;1;;
C0041;;Bullhead sauce BBQ;4711258001256;3.60;21.0;2.37;0.0;1;;
C0042;;LKK Sauce prunes;078895123005;3.20;12.0;2.08;0.0;1;;
C0043;;LKK Sauce piquante au soja;078895138948;4.20;12.0;2.79;0.0;1;;
C0044;;LKK Sauce Chiu Chow;078895743067;5.95;12.0;3.93;0.0;1;;
C0045;;LKK Sauce poivre N.;078895941609;3.40;12.0;2.22;0.0;1;;
C0046;;Amoy Sauce HoiSin;4892773000587;1.90;11.0;1.23;0.0;1;;
C0047;;Laoganma soja noir sale huile piquante;6921804700849;4.20;24.0;2.79;0.0;1;;
C0048;;Pate de crevette kapi;084909000873;2.10;48.0;1.37;0.0;1;;
C0049;;Sauce curry coco galanga;084909900630;3.20;21.0;2.08;0.0;1;;
C0050;;LKK Sauce Chasiu;078895740035;3.20;12.0;2.13;0.0;1;;
C0051;;Sauce Vindaloo;5015821149802;3.00;12.0;1.99;0.0;1;;
C0052;;Pate de curry rouge;8853662001036;2.30;12.0;1.51;0.0;1;;
C0053;;Pate de curry vert;8853662001050;2.30;12.0;1.51;0.0;1;;
C0054;;Sauce Kashmiri;5015821149833;3.00;12.0;1.99;0.0;1;;
C0055;;Pate de soja noir epaisse;087703006454;4.40;9.0;2.89;0.0;1;;
C0056;;Sauce piment fruit de mer;084909002167;1.90;24.0;1.28;0.0;1;;
C0057;;Amoy Hoisin BBQ;5010928050013;3.65;0.0;2.42;0.0;1;;
C0058;;Sauce sate epicee;8853662001135;2.50;12.0;1.66;0.0;1;;
C0059;;Sauce sate doux;8853662001104;2.50;12.0;1.66;0.0;1;;
C0060;;Puree de piment ;3364699220949;1.30;12.0;0.87;0.0;1;;
C0061;;LKK Sauce gingembre;078895404579;4.80;12.0;3.17;0.0;1;;
C0062;;Pate de piment habanero;6947593018200;2.15;23.0;1.42;0.0;1;;
C0063;;Lime aux epices douces;5015821149765;3.00;6.0;1.95;0.0;1;;
C0064;;Huile piquante avec soja noir sale;4710678220285;4.20;20.0;2.80;0.0;1;;
C0065;;Sauce piment vert et basilic;8853662040592;2.65;6.0;1.75;0.0;1;;
C0066;;Sauce piment ananas;8853662040561;2.65;6.0;1.75;0.0;1;;
C0067;;Sauce sesame haricot noir;8853662040554;2.70;6.0;1.80;0.0;1;;
C0068;;Pate de curry jaune;8853662001043;2.30;12.0;1.51;0.0;1;;
C0069;;Sauce piment rouge basilic;8853662040585;2.65;6.0;1.75;0.0;1;;
C0070;;Bulldog sauce Tonkatsu;49753257;3.90;30.0;2.60;0.0;1;;
C0071;;Kikkoman Teriyaki;8715035210301;4.60;4.0;2.79;0.0;1;;
C0072;;Kikkoman Yakitori;8715035360303;4.60;1.0;2.61;0.0;1;;
C0073;;Candico sucre roux;5410301311067;5.20;0.0;3.41;0.0;1;;
C0074;;Bouchee de nougat tendre 1Kg;3760196420101;6.50;0.0;4.30;0.0;1;;
C0075;;Melange epices pho ;8935005301086;2.70;0.0;1.75;0.0;1;;
C0076;;MSG glutamate;3700417300126;1.45;0.0;0.95;0.0;1;;
C0077;;Pate de curry rouge 1kg;8855237000017;9.70;0.0;6.40;0.0;1;;
C0078;;Mae Ploy Sauce chili sucree ;8850367991198;3.90;0.0;2.60;0.0;1;;
C0079;;LKK Sauce piment ail;078895770025;3.30;11.0;2.15;0.0;1;;
C0080;;HarHar Sauce piment soja;4711209051026;4.35;24.0;2.90;0.0;1;;
C0081;;Knorr  bouillon de poulet 990g;8712100767104;14.35;0.0;9.50;0.0;1;;
C0082;;LKK Sauce soja foncee 8L;078895130942;22.50;0.0;14.90;0.0;1;;
